Run,x1,x2,x3,,,,,,,
1,0.2761877,22.14517,75.4184,,x1:layer height(mm),,,x2:fill rate,,x3:print speed(mm/s)
2,0.2720748,19.51663,60.13819,,,,,,,
3,0.2200908,21.81753,70.71603,,,,,,,
4,0.2513065,29.24576,76.69911,,,,,,,
5,0.139119,22.647,63.51059,,,,,,,
6,0.1051682,26.01985,74.37764,,,,,,,
7,0.192106,18.50685,66.12479,,,,,,,
8,0.2163177,17.00318,61.58463,,,,,,,
9,0.211047,18.40492,67.92222,,,,,,,
10,0.1430216,25.23006,62.13083,,,,,,,
11,0.1339603,11.0884,79.69102,,,,,,,
12,0.2562315,15.2083,72.64577,,,,,,,
13,0.2272007,12.69396,65.81259,,,,,,,
14,0.2028977,11.63456,61.17318,,,,,,,
15,0.1596572,15.93917,69.82245,,,,,,,
16,0.1111714,24.75408,71.1026,,,,,,,
17,0.118187,20.42898,64.04272,,,,,,,
18,0.2927399,26.78828,60.79446,,,,,,,
19,0.171138,10.28541,68.55277,,,,,,,
20,0.1610558,13.01621,62.50069,,,,,,,
21,0.2857424,14.13463,66.79855,,,,,,,
22,0.2692188,29.97506,72.05414,,,,,,,
23,0.1249088,10.90071,78.21598,,,,,,,
24,0.1888709,27.95504,76.02757,,,,,,,
25,0.2369975,21.05762,71.67081,,,,,,,
26,0.1831993,19.24854,77.93271,,,,,,,
27,0.298719,28.55288,77.24676,,,,,,,
28,0.2098031,17.61572,70.22792,,,,,,,
29,0.2631969,28.44364,79.26748,,,,,,,
30,0.1519902,27.42453,73.64313,,,,,,,
31,0.1039333,23.77621,69.32736,,,,,,,
32,0.1763162,14.5167,73.34045,,,,,,,
33,0.2479698,25.5034,74.85138,,,,,,,
34,0.2343263,23.40272,63.07942,,,,,,,
35,0.2428449,12.07879,67.14325,,,,,,,
36,0.196117,16.36105,78.79531,,,,,,,
37,0.1454303,20.61134,65.3023,,,,,,,
38,0.1279671,24.16532,64.54393,,,,,,,
39,0.2834956,13.73985,68.34197,,,,,,,
40,0.1665208,16.71673,75.96492,,,,,,,
