Test force, deformation,Test force, deformation,Test force, deformation,Test force, deformation,Test force, deformation,Test force, deformation,Test force, deformation,Test force, deformation,Test force, deformation,Test force, deformation,Test force, deformation,Test force, deformation,Test force, deformation,Test force, deformation,Test force, deformation,Test force, deformation,Test force, deformation,Test force, deformation,Test force, deformation,Test force, deformation,Test force, deformation,Test force, deformation,Test force, deformation,Test force, deformation,Test force, deformation,Test force, deformation,Test force, deformation,Test force, deformation,Test force, deformation,Test force, deformation,Test force, deformation,Test force, deformation,Test force, deformation,Test force, deformation,Test force, deformation,Test force, deformation,Test force, deformation,Test force, deformation,Test force, deformation,Test force, deformation,time
0.01,0,0.01,0.0023,0.01,0.0008,0.01,0.0018,0.01,0.0022,0.01,0,0.01,0.0029,0.01,0.0028,0.01,0.001,0.01,0.0032,0.01,0.0026,0.01,0.0007,0.01,0.0008,0.01,0.003,0.01,0.003,0.01,0.0015,0.01,0,0.01,0.0028,0.01,0.0015,0.01,0.0007,0.01,0,0.01,0.0023,0.01,0.0019,0.01,0,0.01,0.0044,0.01,0.0015,0.01,0.0015,0.01,0.0018,0.01,0.0036,0.01,0.0023,0.01,0,0.01,0.0041,0.01,0.0023,0.01,0.0008,0.01,0.003,0.01,0.0032,0.01,0.0017,0.01,0,0.01,0.0032,0.01,0.0026,0.04
0.01,0.004,0.01,0.0062,0.01,0.0045,0.01,0.0061,0.01,0.0062,0.012,0.0044,0.012,0.0067,0.01,0.007,0.01,0.0056,0.01,0.007,0.01,0.0073,0.01,0.0045,0.01,0.0047,0.01,0.0067,0.01,0.0069,0.01,0.0054,0.01,0.0039,0.01,0.0067,0.01,0.0054,0.01,0.0045,0.01,0.0044,0.01,0.0062,0.01,0.0059,0.012,0.004,0.01,0.0088,0.01,0.0054,0.01,0.0054,0.01,0.0056,0.01,0.0083,0.01,0.0062,0.01,0.0039,0.01,0.0085,0.01,0.0067,0.01,0.0047,0.01,0.007,0.01,0.007,0.01,0.0055,0.01,0.0045,0.01,0.0076,0.01,0.0063,0.08
0.01,0.0078,0.01,0.0099,0.01,0.0084,0.01,0.0098,0.01,0.0105,0.014,0.0081,0.012,0.0107,0.01,0.0109,0.01,0.0098,0.01,0.0109,0.012,0.0114,0.01,0.0085,0.01,0.0085,0.01,0.0106,0.01,0.0107,0.01,0.0092,0.01,0.0077,0.01,0.0106,0.01,0.0092,0.01,0.0083,0.01,0.0081,0.01,0.0101,0.01,0.0096,0.014,0.0077,0.01,0.0125,0.01,0.0092,0.01,0.0092,0.01,0.0095,0.01,0.0123,0.01,0.0103,0.01,0.0076,0.01,0.0129,0.01,0.0113,0.01,0.0084,0.01,0.0114,0.01,0.0109,0.01,0.0094,0.01,0.009,0.01,0.0121,0.01,0.0102,0.12
0.01,0.0117,0.01,0.0139,0.01,0.0124,0.01,0.0136,0.01,0.015,0.016,0.0118,0.014,0.0145,0.01,0.0147,0.01,0.0136,0.01,0.0146,0.014,0.0151,0.01,0.0128,0.01,0.0124,0.01,0.0145,0.01,0.0146,0.01,0.0138,0.01,0.0116,0.01,0.0145,0.01,0.0135,0.01,0.0121,0.01,0.012,0.01,0.0139,0.01,0.0135,0.018,0.0116,0.01,0.0164,0.01,0.0135,0.01,0.0131,0.01,0.0134,0.01,0.016,0.01,0.015,0.01,0.0114,0.01,0.0169,0.01,0.0151,0.01,0.0123,0.01,0.016,0.01,0.0147,0.01,0.0132,0.01,0.0128,0.01,0.0161,0.01,0.014,0.16
0.01,0.0156,0.01,0.0176,0.01,0.0161,0.01,0.0175,0.012,0.0191,0.018,0.0157,0.016,0.0183,0.01,0.0186,0.01,0.0175,0.01,0.0186,0.016,0.0189,0.01,0.0174,0.01,0.0161,0.01,0.0183,0.01,0.0183,0.01,0.0183,0.01,0.0154,0.01,0.0183,0.01,0.0182,0.01,0.016,0.01,0.0158,0.012,0.0176,0.01,0.0174,0.022,0.0156,0.01,0.0204,0.01,0.018,0.01,0.0168,0.01,0.0171,0.01,0.0198,0.01,0.0191,0.01,0.0156,0.012,0.0207,0.01,0.019,0.01,0.0162,0.01,0.0198,0.01,0.0186,0.01,0.0171,0.01,0.0167,0.01,0.0198,0.01,0.0179,0.2
0.01,0.0193,0.01,0.0215,0.01,0.02,0.01,0.0213,0.012,0.0229,0.02,0.0196,0.018,0.0223,0.01,0.0223,0.01,0.0213,0.01,0.0231,0.016,0.0229,0.01,0.0213,0.01,0.02,0.01,0.0223,0.01,0.0222,0.012,0.0222,0.01,0.0191,0.01,0.022,0.01,0.0222,0.01,0.0198,0.01,0.0197,0.012,0.0219,0.01,0.0212,0.028,0.0201,0.01,0.0242,0.01,0.0222,0.01,0.0209,0.01,0.0209,0.01,0.0237,0.01,0.0229,0.01,0.0201,0.012,0.0245,0.01,0.0229,0.01,0.02,0.01,0.0237,0.01,0.0223,0.01,0.0209,0.01,0.0205,0.012,0.0237,0.01,0.0218,0.24
0.01,0.0231,0.01,0.0255,0.01,0.0241,0.01,0.0252,0.014,0.0267,0.024,0.0234,0.018,0.0269,0.01,0.0263,0.01,0.0252,0.01,0.0277,0.018,0.0266,0.01,0.0252,0.01,0.024,0.01,0.0269,0.01,0.0264,0.014,0.0259,0.01,0.023,0.01,0.0259,0.01,0.026,0.01,0.0237,0.01,0.0235,0.012,0.0264,0.01,0.0249,0.034,0.0246,0.01,0.028,0.01,0.0259,0.01,0.0255,0.01,0.0248,0.01,0.0275,0.01,0.0267,0.01,0.0244,0.012,0.0284,0.012,0.0267,0.01,0.0238,0.01,0.0275,0.01,0.0264,0.01,0.0248,0.01,0.0242,0.012,0.0277,0.01,0.0256,0.28
0.01,0.0274,0.01,0.03,0.01,0.0285,0.01,0.0291,0.014,0.0306,0.026,0.0273,0.02,0.0314,0.01,0.03,0.01,0.0289,0.01,0.0314,0.02,0.0304,0.01,0.0291,0.01,0.0285,0.01,0.0313,0.01,0.0311,0.014,0.0297,0.012,0.0274,0.01,0.0299,0.01,0.0297,0.01,0.028,0.01,0.0274,0.014,0.0307,0.01,0.0289,0.04,0.0284,0.01,0.0319,0.01,0.0297,0.01,0.0299,0.01,0.0289,0.01,0.0314,0.01,0.0306,0.01,0.0282,0.014,0.0322,0.012,0.0304,0.01,0.0281,0.01,0.0314,0.01,0.0311,0.01,0.0292,0.01,0.0282,0.012,0.0314,0.01,0.0299,0.32
0.01,0.0318,0.012,0.0344,0.01,0.0329,0.01,0.0335,0.014,0.0344,0.03,0.0317,0.022,0.0351,0.01,0.0344,0.01,0.0329,0.012,0.0353,0.022,0.0344,0.01,0.0329,0.01,0.0329,0.012,0.0351,0.01,0.0353,0.016,0.0336,0.012,0.0319,0.01,0.0344,0.01,0.0336,0.01,0.0326,0.01,0.0315,0.014,0.0344,0.01,0.0336,0.046,0.0322,0.012,0.0362,0.01,0.0336,0.01,0.0336,0.01,0.0335,0.01,0.0354,0.01,0.0344,0.01,0.0321,0.014,0.0361,0.012,0.0343,0.01,0.0326,0.01,0.0353,0.01,0.0354,0.01,0.0337,0.01,0.0321,0.012,0.0353,0.01,0.0344,0.36
0.01,0.0361,0.012,0.0381,0.01,0.0368,0.012,0.0379,0.016,0.0383,0.036,0.0362,0.026,0.039,0.01,0.039,0.01,0.0373,0.012,0.0391,0.024,0.0388,0.01,0.0368,0.01,0.0368,0.012,0.0388,0.01,0.039,0.016,0.0375,0.012,0.0359,0.01,0.0388,0.01,0.0375,0.012,0.0366,0.01,0.0361,0.014,0.0383,0.01,0.038,0.054,0.0361,0.012,0.0406,0.01,0.0375,0.01,0.0375,0.01,0.0377,0.01,0.0398,0.01,0.0383,0.01,0.0359,0.014,0.0402,0.012,0.0386,0.01,0.0368,0.012,0.0391,0.01,0.0391,0.01,0.0376,0.01,0.0362,0.012,0.0392,0.01,0.0386,0.4
